stdivision,target
East North Central,0.1431262934437329
East South Central,0.05828111965947997
Middle Atlantic,0.12752407453275133
Mountain,0.07463883075105007
New England,0.04679943072192749
Pacific,0.16296735308196791
South Atlantic,0.20276142657248955
West North Central,0.06448400584734294
West South Central,0.1194174653892578
