nonwhiteeduc,target
"Non-White, College graduate",0.05626579106160297
"Non-White, HS or less",0.17461842441760692
"Non-White, Post graduate degree",0.03272246411691195
"Non-White, Some college",0.10862415485191998
White,0.6277691655519582
