"educ4_race2","target"
"11",0.17552845562479336
"12",0.24965787964896569
"21",0.19063741101732154
"22",0.1473841917380551
"31",0.09531326506271161
"32",0.060651765424710506
"41",0.056070491439667546
"42",0.024756540043774665
