"Gender","Race 4","target"
"Female","Black",0.0641426891878319
"Female","Hispanic",0.0807445927343838
"Female","Other",0.0456919704838033
"Female","White",0.322710066582774
"Male","Black",0.0563384003985908
"Male","Hispanic",0.0812072573450784
"Male","Other",0.0407538958110554
"Male","White",0.308411127456483
