stdivision,target
East North Central,0.1437334601576639
East South Central,0.0583071945237097
Middle Atlantic,0.1284248063664239
Mountain,0.0738480746924412
New England,0.0469943697086782
Pacific,0.16322604073739339
South Atlantic,0.2020272278446362
West North Central,0.0646374576841957
West South Central,0.1188013682848585
