Race 4,age2,target
Black,18 - 44,0.06230632895207687
Hispanic,18 - 44,0.09833586219566955
Other,18 - 44,0.048188912351513846
White,18 - 44,0.2533440755069508
Black,45 and up,0.05880352696545414
Hispanic,45 and up,0.06563816234307272
Other,45 and up,0.03895804164025468
White,45 and up,0.3744250900450074
